Iteration : 0 | Loss : 8.581534 | Accuracy : 5.615000
Iteration : 50 | Loss : 3.398865 | Accuracy : 30.755000
Iteration : 100 | Loss : 2.197072 | Accuracy : 47.370000
Iteration : 150 | Loss : 1.682585 | Accuracy : 56.340000
Iteration : 200 | Loss : 1.398005 | Accuracy : 62.213333
Iteration : 250 | Loss : 1.217846 | Accuracy : 66.383333
Iteration : 300 | Loss : 1.093585 | Accuracy : 69.360000
Iteration : 350 | Loss : 1.002577 | Accuracy : 71.651667
Iteration : 400 | Loss : 0.932767 | Accuracy : 73.545000
Iteration : 450 | Loss : 0.877298 | Accuracy : 75.105000
Iteration : 500 | Loss : 0.831888 | Accuracy : 76.290000
Iteration : 550 | Loss : 0.793830 | Accuracy : 77.375000
Iteration : 600 | Loss : 0.761310 | Accuracy : 78.265000
Iteration : 650 | Loss : 0.733100 | Accuracy : 79.041667
Iteration : 700 | Loss : 0.708296 | Accuracy : 79.750000
Iteration : 750 | Loss : 0.686253 | Accuracy : 80.358333
Iteration : 800 | Loss : 0.666487 | Accuracy : 80.933333
Iteration : 850 | Loss : 0.648629 | Accuracy : 81.395000
Iteration : 900 | Loss : 0.632408 | Accuracy : 81.866667
Iteration : 950 | Loss : 0.617579 | Accuracy : 82.266667
Iteration : 1000 | Loss : 0.603940 | Accuracy : 82.668333
Iteration : 1050 | Loss : 0.591335 | Accuracy : 83.056667
Iteration : 1100 | Loss : 0.579639 | Accuracy : 83.386667
Iteration : 1150 | Loss : 0.568753 | Accuracy : 83.678333
Iteration : 1200 | Loss : 0.558582 | Accuracy : 83.936667
Iteration : 1250 | Loss : 0.549055 | Accuracy : 84.228333
Iteration : 1300 | Loss : 0.540102 | Accuracy : 84.468333
Iteration : 1350 | Loss : 0.531669 | Accuracy : 84.701667
Iteration : 1400 | Loss : 0.523715 | Accuracy : 84.910000
Iteration : 1450 | Loss : 0.516189 | Accuracy : 85.125000
Iteration : 1500 | Loss : 0.509054 | Accuracy : 85.310000
Iteration : 1550 | Loss : 0.502272 | Accuracy : 85.476667
Iteration : 1600 | Loss : 0.495815 | Accuracy : 85.683333
Iteration : 1650 | Loss : 0.489657 | Accuracy : 85.873333
Iteration : 1700 | Loss : 0.483784 | Accuracy : 86.061667
Iteration : 1750 | Loss : 0.478169 | Accuracy : 86.218333
Iteration : 1800 | Loss : 0.472792 | Accuracy : 86.361667
Iteration : 1850 | Loss : 0.467639 | Accuracy : 86.490000
Iteration : 1900 | Loss : 0.462687 | Accuracy : 86.650000
Iteration : 1950 | Loss : 0.457926 | Accuracy : 86.786667
Iteration : 2000 | Loss : 0.453343 | Accuracy : 86.898333
Iteration : 2050 | Loss : 0.448932 | Accuracy : 87.018333
Iteration : 2100 | Loss : 0.444683 | Accuracy : 87.170000
Iteration : 2150 | Loss : 0.440581 | Accuracy : 87.290000
Iteration : 2200 | Loss : 0.436619 | Accuracy : 87.403333
Iteration : 2250 | Loss : 0.432791 | Accuracy : 87.508333
Iteration : 2300 | Loss : 0.429091 | Accuracy : 87.613333
Iteration : 2350 | Loss : 0.425511 | Accuracy : 87.728333
Iteration : 2400 | Loss : 0.422043 | Accuracy : 87.813333
Iteration : 2450 | Loss : 0.418681 | Accuracy : 87.903333
